node,pressure
267,4917.023811646934
268,4588.235707071348
269,4739.375507032331
270,4684.331238710448
271,4767.690566889647
272,5203.694315760286
273,5188.571220064209
274,5063.049430273947
275,5123.1810077561295
276,5153.0228199768635
277,5142.024182590236
278,5081.654395662967
279,5037.8035472821175
280,4903.181877691654
281,4998.26702317016
282,5130.17010998658
283,5115.349590507312
284,5092.595096313847
285,5123.815747974519
286,4870.313202704133
287,4986.659879464679
288,5287.9013976784545
289,5287.300922680127
290,5171.970180550386
291,5054.19013645393
292,4777.214199749014
293,4946.147774599662
294,5154.9844800015435
295,5123.807916441197
296,5159.602032390813
297,5042.3590530573465
298,5106.546485921011
299,4953.561886296729
300,4834.340469091419
301,4677.651759611774
302,5230.410914474187
303,5209.0978809371745
304,5013.171191156041
305,4985.249779767733
306,4988.47766514921
307,5003.2845486399565
308,4955.386444932274
309,5179.514233252625
310,5134.48434078022
311,5214.262962612257
312,5050.431950466267
313,5006.356992220919
314,5128.7651495294285
315,5131.424328886631
316,4880.330793239927
317,4849.66841948501
318,5126.67558964819
319,5143.271204727688
320,5012.833510200868
321,4986.4304186310355
322,5129.147071489908
323,5183.963279322372
324,5033.919623672284
325,4886.8596449341385
326,4808.4028560864135
327,5016.439128783365
328,5283.3474968596265
329,5227.150623348599
330,5236.475239787962
331,5123.448559602371
332,5138.965984343117
333,5089.687256385597
334,5216.361394650972
335,5241.314046116191
336,5001.188116051483
337,4956.620038044344
338,4834.089153094674
339,4849.865471674526
340,5263.352946678219
341,5238.499884452735
342,5233.834123137045
343,5148.560227476022
344,4368.376209688201
345,4341.564029796717
346,4482.005628600188
347,4394.070177535124
348,4869.782058747698
349,4864.5857003359
350,4703.7445889670125
351,4757.977607568074
352,4445.495613582546
353,4371.962609551988
354,4631.084481147521
355,4604.33069491728
356,4588.984762777183
357,4535.381107285142
358,4682.492402375944
359,4721.345689370462
360,5124.393389791178
361,5061.564225858029
362,5068.936810075788
363,5045.260309445186
364,4841.402104103902
365,4935.422459628671
366,4984.153799731025
367,5009.723648669476
368,5019.385629536624
369,5040.482180838723
370,5010.604782569283
371,5014.819946870433
372,4894.330484717212
373,4863.119501525466
374,4891.294572416106
375,4856.864046602791
376,4570.511558696345
377,4808.36243423317
378,4896.939924373304
379,4794.8153355690565
380,4974.088223355392
381,4982.2578353425415
382,4852.858156748084
383,5047.8972608806735
384,4849.442130125045
385,5017.822027675014
386,4947.034409390467
387,5070.479430951853
388,4738.572696270058
389,4650.7671049665205
390,4853.045403734178
391,4797.518879409703
392,5160.7672624385505
393,5210.711066954739
394,5191.792030989274
395,5183.734903461762
396,5082.396395650457
397,4995.6054717466495
398,4869.99806994886
399,4900.501574356079
400,4494.47702236078
401,4634.900843897998
402,4753.918321439303
403,4797.983150578338
404,5089.757125468176
405,4981.03526461523
406,4847.630638593309
407,4998.7734665808375
408,5030.773958522153
409,5060.600939849043
410,4825.1956024132
411,4922.370832200137
412,5022.782009591169
413,4982.453559567818
414,4870.01053364425
415,4667.464160616135
416,4668.016552257515
417,4718.091660538282
418,4483.249986941146
419,4486.805913492993
420,5076.959144146295
421,5142.8211647432345
422,5122.316793624201
423,5072.931530192661
424,4921.004475104205
425,4824.26261611785
426,4639.530132401862
427,4917.162284603612
428,4895.475074840255
429,4732.357552189296
430,4876.733402821541
431,4895.821064659132
